ID,Name,Height,Weight,Age,Sex,Profession,Salary,Height_indicator,Weight_indicator
0,Горшков Бенедикт,186.0,78.0,71,м,продавец,310000,False,False
1,Суворов Эрик,182.0,117.0,80,м,сантехник,61000,False,False
2,Воронов Модест,192.0,55.0,27,м,преподаватель,266000,False,False
3,Гусев Макар,193.0,116.0,68,м,продавец,240000,False,False
4,Соболев Фёдор,165.0,84.0,67,м,автослесарь,226000,False,False
5,Крюков Макар,189.0,109.0,45,м,врач,47000,False,False
6,Мухин Евстахий,183.0,55.0,42,м,студент,258000,False,False
7,Яковлев Федот,184.0,53.0,18,м,сантехник,49000,False,False
8,Меркушев Валентин,168.0,77.0,69,м,преподаватель,343000,False,False
9,Петухов Мирон,174.0,71.0,51,м,сантехник,293000,False,False
10,Бобылёв Зиновий,176.0,89.0,80,м,студент,427000,False,False
11,Фомичёв Михаил,175.0,84.0,74,м,автослесарь,233000,True,False
12,Мясников Серафим,175.0,114.0,44,м,бухгалтер,283000,True,False
13,Васильев Никола,176.0,55.0,35,м,студент,41000,False,False
14,Павлов Степан,166.0,108.0,37,м,сантехник,316000,False,False
15,Нестеров Юрий,176.0,116.0,40,м,инженер,186000,False,False
16,Хохлов Остап,171.0,65.0,60,м,врач,420000,False,False
17,Лаврентьев Данил,165.0,113.0,70,м,инженер,460000,False,False
18,Борисов Аполлинарий,194.0,88.0,37,м,врач,13000,False,False
19,Кудряшов Федот,178.0,68.0,75,м,программист,96000,False,True
20,Романов Август,189.0,114.0,52,м,бухгалтер,29000,False,False
21,Кузьмин Эдуард,175.0,97.0,81,м,продавец,250000,True,False
22,Котов Ринат,182.0,53.0,63,м,врач,425000,False,False
23,Третьяков Гордей,176.0,116.0,58,м,сантехник,141000,False,False
24,Ермаков Кирилл,168.0,119.0,50,м,врач,130000,False,False
25,Зуев Филипп,165.0,82.0,19,м,студент,481000,False,False
26,Силин Ждан,179.0,64.0,31,м,студент,307000,False,False
27,Ларионов Артур,172.0,65.0,66,м,студент,170000,False,False
28,Щербаков Зиновий,167.0,51.0,49,м,преподаватель,431000,False,False
29,Пестов Арсений,186.0,54.0,77,м,программист,479000,False,False
30,Громов Остап,173.0,61.0,36,м,автослесарь,22000,False,False
31,Шаров Ждан,165.0,68.0,62,м,программист,421000,False,False
32,Смирнов Феликс,178.0,107.0,79,м,продавец,282000,False,False
33,Зайцев Павел,194.0,107.0,36,м,студент,487000,False,False
34,Воробьёв Прохор,172.0,115.0,21,м,бухгалтер,275000,False,False
35,Владимиров Константин,194.0,77.0,22,м,инженер,22000,False,False
36,Овчинников Илья,175.0,84.0,21,м,сантехник,433000,False,False
37,Якушев Платон,166.0,98.0,80,м,автослесарь,341000,False,False
38,Сафонов Ян,172.0,90.0,64,м,бухгалтер,261000,False,False
39,Фокин Никанор,173.0,50.0,19,м,врач,62000,False,False
40,Маслов Климент,166.0,91.0,64,м,сантехник,263000,False,False
41,Лебедев Вячеслав,171.0,102.0,77,м,продавец,11000,False,False
42,Фомичёв Владимир,177.0,108.0,62,м,инженер,199000,False,False
43,Журавлёв Всеволод,180.0,74.0,69,м,студент,53000,False,False
44,Зуев Давид,186.0,82.0,41,м,бухгалтер,118000,False,False
45,Аксёнов Максим,168.0,110.0,26,м,программист,56000,False,False
46,Агафонов Ждан,169.0,68.0,53,м,врач,401000,False,True
47,Бирюков Давид,186.0,68.0,69,м,врач,319000,False,True
48,Матвеев Дамир,170.0,106.0,25,м,автослесарь,131000,False,False
49,Самойлов Потап,175.0,104.0,72,м,студент,118000,False,False
50,Ситников Иеремия,184.0,73.0,74,м,преподаватель,361000,False,False
51,Крылов Самсон,192.0,77.0,40,м,автослесарь,279000,False,False
52,Константинов Никодим,191.0,90.0,35,м,студент,231000,False,False
53,Якушев Ренат,171.0,114.0,86,м,бухгалтер,187000,False,False
54,Стрелков Лукьян,175.0,66.0,26,м,врач,455000,True,False
55,Белозёров Ярослав,173.0,105.0,61,м,бухгалтер,43000,False,False
56,Шилов Андрей,175.0,84.0,55,м,преподаватель,454000,True,False
57,Сергеев Кондрат,180.0,119.0,41,м,программист,394000,False,False
58,Доронин Мартын,190.0,118.0,19,м,программист,347000,False,False
59,Фролов Ефим,175.0,114.0,67,м,преподаватель,210000,True,False
60,Константинов Никон,178.0,68.0,79,м,продавец,195000,False,True
61,Пахомов Николай,180.0,67.0,58,м,программист,46000,False,False
62,Наумов Августин,194.0,88.0,71,м,продавец,102000,False,False
63,Зыков Болеслав,187.0,74.0,34,м,бухгалтер,421000,False,False
64,Исаев Августин,179.0,82.0,71,м,преподаватель,460000,False,False
65,Белов Савва,189.0,112.0,54,м,бухгалтер,301000,False,False
66,Крюков Макарий,182.0,75.0,21,м,бухгалтер,156000,False,False
67,Киселёв Марк,186.0,87.0,89,м,сантехник,337000,False,False
68,Матвеев Филат,165.0,107.0,53,м,инженер,233000,False,False
69,Селиверстов Сидор,189.0,93.0,77,м,инженер,24000,False,False
70,Кошелев Архип,171.0,50.0,73,м,продавец,487000,False,False
71,Уваров Семён,166.0,115.0,55,м,врач,299000,False,False
72,Филатов Леонид,179.0,59.0,88,м,инженер,71000,False,False
73,Никитин Артемий,166.0,68.0,88,м,преподаватель,259000,False,True
74,Яковлев Савва,165.0,60.0,22,м,студент,65000,False,False
75,Кабанов Антоний,172.0,50.0,32,м,инженер,452000,False,False
76,Игнатов Анастасий,186.0,76.0,71,м,продавец,381000,False,False
77,Горбунов Самсон,165.0,58.0,42,м,студент,418000,False,False
78,Беляев Леонтий,171.0,91.0,26,м,студент,445000,False,False
79,Галкин Харитон,175.0,70.0,36,м,сантехник,65000,True,False
80,Ефремов Марк,184.0,79.0,33,м,врач,162000,False,False
81,Родионов Данислав,191.0,108.0,47,м,бухгалтер,105000,False,False
82,Хохлов Тарас,179.0,93.0,55,м,преподаватель,364000,False,False
83,Ершов Терентий,174.0,107.0,66,м,инженер,200000,False,False
84,Родионов Митрофан,184.0,112.0,45,м,врач,444000,False,False
85,Ильин Фаддей,178.0,52.0,86,м,бухгалтер,462000,False,False
86,Панов Вениамин,174.0,88.0,46,м,студент,350000,False,False
87,Титов Влас,176.0,99.0,48,м,преподаватель,352000,False,False
88,Суворов Андрей,189.0,110.0,18,м,сантехник,97000,False,False
89,Горшков Ефрем,168.0,105.0,54,м,студент,195000,False,False
90,Петухов Захар,175.0,95.0,21,м,сантехник,443000,False,False
91,Беспалов Игнат,166.0,86.0,22,м,инженер,318000,False,False
92,Игнатьев Семен,175.0,51.0,73,м,студент,207000,True,False
93,Пахомов Кирилл,175.0,52.0,29,м,сантехник,326000,False,False
94,Фёдоров Борислав,193.0,73.0,89,м,продавец,141000,False,False
95,Воробьёв Климент,184.0,90.0,31,м,автослесарь,248000,False,False
96,Корнилов Радий,180.0,112.0,34,м,сантехник,237000,False,False
